felling_period;felling_toponymy_source;felling_toponymy_MTN25;latitude;longitude;province;municipality;landownership;landowner_name;tree_species;tree_quantity
1748-1749;Benahú;Dehesa de Benahú ;36.57689304;-5.509202381;Cádiz;Jerez de la Frontera;comunal;Jerez de la Frontera;gall oak;622.0
1748-1749;Jarda;Dehesa de la Jarda ;36.60223799;-5.6019132409;Cádiz;Jerez de la Frontera;undefined;undefined;gall oak;230.0
1748-1749;Barranco de la Fantasma;La Fantasma ;36.6099778174;-5.4648038479;Cádiz;Jerez de la Frontera;undefined;undefined;gall oak;240.0
1748-1749;La Jardilla;La Jardilla ;36.62178904;-5.518366056;Cádiz;Jerez de la Frontera;comunal;Jerez de la Frontera;gall oak;1457.0
1748-1749;Garganta de Millán;Millán;36.61617144;-5.474945207;Cádiz;Jerez de la Frontera;undefined;undefined;gall oak;250.0
1748-1749;Campo de las Encinas;Campo de las Encinas;36.75292427;-5.438416824;Cádiz;Grazalema;undefined;undefined;undefined species;383.0
1748-1749;Breña del Água;Breña del Água;36.79982924;-5.457767886;Cádiz;Grazalema;undefined;undefined;undefined species;384.0
1748-1749;Huertas de Benahoma;Benahoma;36.76518276;-5.463346881;Cádiz;Grazalema;undefined;undefined;undefined species;383.0
1748-1749;Monte del Boyar;El Boyal;36.74800409;-5.426723999;Cádiz;Grazalema;undefined;undefined;undefined species;360.0
1748-1749;Chorreadero;Chorreadero;36.83427701;-5.5176234176;Cádiz;Zahara de la Sierra;undefined;undefined;undefined species;370.0
1748-1749;El Canchal;El Canchal;36.83170657;-5.5044698646;Cádiz;Zahara de la Sierra;noble estate;Duque de Arcos;undefined species;370.0
1748-1750;El Canchal;El Canchal;36.84293228;-5.520069592;Cádiz;Algodonales;undefined;undefined;undefined species;370.0
1748-1749;Chorreadero;Chorreadero;36.8340336855;-5.529137619;Cádiz;Prado del Rey;undefined;undefined;undefined species;370.0
1748-1749;El Canchal;El Canchal;36.8202832219;-5.5273083452;Cádiz;Prado del Rey;undefined;undefined;undefined species;370.0
